id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,0,0,0,3,3,3,0,0,0,0,3,20,0,0,20,17,0,0,0,1,12,0,3,0,0,20,12,3,3,3
mh1,mh1,50.0,2,0,2,3,3,3,2,3,3,3,0,3,3,3,3,16,9,3,7,3,0,3,0,3,3,29,0,0,0,0
mh2,mh2,50.0,1,1,17,1,1,1,1,1,1,1,13,1,7,1,1,1,1,1,9,1,1,1,1,1,5,1,1,11,1,15
mh3,mh3,50.0,24,1,23,3,3,3,3,3,7,3,3,29,15,10,3,3,3,3,17,10,3,10,3,10,14,3,3,3,3,3
mh4,mh4,50.0,2,0,2,2,2,2,2,2,2,2,20,2,2,2,2,41,2,2,2,5,2,6,19,2,17,2,2,20,19,0
mnh0,mnh0,50.0,1,2,1,34,1,1,1,15,5,35,25,35,4,8,35,33,16,35,1,8,19,8,28,11,4,35,19,26,25,28
mnh1,mnh1,50.0,1,1,1,1,1,1,1,1,1,1,7,9,1,1,9,6,1,1,1,1,5,1,6,1,1,9,1,7,6,6
mnh2,mnh2,50.0,1,1,1,11,1,3,1,1,1,1,12,1,1,1,1,11,4,24,4,1,1,1,11,1,1,1,1,14,11,22
mnh3,mnh3,50.0,1,1,1,1,1,1,17,1,1,1,12,1,1,2,1,11,4,1,5,2,8,2,11,2,1,1,8,12,11,14
mnh4,mnh4,50.0,1,1,1,1,8,8,1,7,6,14,1,14,5,6,21,1,8,17,8,6,8,6,1,6,5,24,8,1,1,12
mnh5,mnh5,50.0,1,1,1,3,3,3,1,3,4,201,3,201,11,10,201,3,12,201,12,8,197,8,3,10,3,203,197,3,3,3
mnh6,mnh6,50.0,1,1,1,1,1,1,1,5,8,5,1,5,5,5,5,15,12,5,12,5,12,5,1,5,5,5,12,1,1,1
mnh7,mnh7,50.0,3,2,3,3,3,3,3,3,4,3,11,3,3,4,3,11,3,3,3,4,3,4,11,4,3,14,8,13,11,11
mnh8,mnh8,50.0,1,5,1,1,1,1,1,1,6,26,23,26,6,11,26,24,18,26,21,11,22,11,1,11,6,30,22,23,1,1
mnh9,mnh9,50.0,1,1,1,14,1,1,1,1,3,28,14,28,1,3,28,17,1,28,7,3,13,3,14,3,1,40,13,14,14,14
mnh10,mnh10,50.0,1,2,1,1,1,1,1,1,1,10,8,1,1,3,1,8,1,10,6,3,7,3,8,3,1,12,7,8,8,8
mnh11,mnh11,50.0,2,1,2,2,2,2,2,2,2,2,2,2,14,2,2,18,2,2,15,2,2,2,2,5,13,19,2,2,2,2
mnh12,mnh12,50.0,1,1,1,1,1,1,1,9,1,7,1,7,1,1,7,1,1,7,1,1,10,1,1,1,4,7,10,1,1,1
mnh13,mnh13,50.0,1,2,3,3,3,3,3,3,3,3,3,3,3,6,3,17,3,3,3,6,3,11,3,6,3,20,3,14,3,3
mnh14,mnh14,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,1,1,10,1,1,1,12,1,7,1,1,1,1,12
lpsh0,lpsh0,1.0,0,0,0,0,0,0,0,0,0,18,10,18,0,0,18,10,0/8,18,8,0,0,0,10,3,0,18,0,10,10,17
lpsh1,lpsh1,1.0,1/19,3,1,10,10,10,1,4/5,4,5,10,23/24,4/9,4,23,10,11,5,11/12,4,0,6,10,4,4,24,11,17/10,10,10
lpsh2,lpsh2,1.0,32/1/31,2,4,4,4/14,14,28,5,5,33,19,34,12,7,34,19,0,5,0,7,18,7,25,7,5/9/10,34,18,19,19,20
lpsh3,lpsh3,1.0,0,1,0,0,8,8,0,0/7,0,18,0/14,0,0/6,0,0/24,0/14,8,18,8,0,8,0,0,4,5,21,0/8,14,0/15,0
lpsnh0,lpsnh0,1.0,1,1,1,1,1,1,1,3,4,3,21,3,15,9,3,1,1,3/24,1,9,17,9,1,14,4,3,20,21,1,22
lpsnh1,lpsnh1,1.0,1,1,1,23,1,1,1/29,1,1,30,25,30,6,1/3,30,23,20,30,20/21,1,18,2,24,3,1,34/30,18,28,24,24
lpsnh2,lpsnh2,1.0,1,1,1,1,1,1,1,1,1,1,23/24,1,1,1,1,28,6,1,6,1/2,11,1,26,1,1,1,16/15,23/24,26/27,26
lpsnh3,lpsnh3,1.0,1,1,18,16/2,2,2,1,2,2,2,2,2,12,2,2,2,2,19,2,9,2,2,15,2,11,2,2,2/14,2,2
lpsnh4,lpsnh4,1.0,1,1,1,1,1,1,1,2,3,2,14,2,3,3,2,14,7/10,22,7/11,4,7,3,14,3,6,26/27,7,14,16/17,14
lpsnh5,lpsnh5,1.0,16/1,1,1,1,1,1,1,1,3/4,1,1/13,1,8,4,1,1,10,19,10/11,4,10,4/6,1/14/15,4/7,8,1,10,12,1/14,1/14
lpsnh6,lpsnh6,1.0,1,1,16/1,1,1,1,1,2,2,2,1,2,2,2,2,11/14,1,19,1,2,1/8,2,1/13,3,4,2,9,12,1,1
lpsnh7,lpsnh7,1.0,1,1,2,2,2/9,2/9,12,3,3,14,2,14,3/8,3,16,2,2,15,2,3,2,3,10,3/7,3,14,2,2,10,10
lpsnh8,lpsnh8,1.0,2,1,2,2,2,2,2,2,2,2,2/12,2,2,2,2,15,10,2/18,10,2,2,2,2,2/5,6,2,2,12/13,2,2
lpsnh9,lpsnh9,1.0,1,1,1,1,1,1,1,1/9,1,1,29/30,1,6,3,1,1,1,1,1,1,28,1,1,1,1,1,1,29,1,1/31
lpsnh10,lpsnh10,1.0,1,1,21/22,1,1/11,1,1,1,1,1/24,1,1,1/9,1,1,1,1,1,1,1,1,1,1,1,8,30,1,1,1,18
lpsnh11,lpsnh11,1.0,1,4,1,1,1,1,1,1,1,1,1,1,6,1,1,15,8,1,8,1,8,1,1/14,1,1,1,8/11,1/12,1,13
lpsnh12,lpsnh12,1.0,1,10,1/11,11,11,11,1/12,12,12,12,11,12/29,12,12,30,28,20,12,20,12,21/11,12,27,15,12,32,22/24,26,11,11
lpsnh13,lpsnh13,1.0,23,1/2,1,1,1/9,9,1,1,1,1,17/18,1,1,1,1,18/22,10,1/24,10,3,10/14/15,1,17,1,7,1,10/14,19,17,21
lpsnh14,lpsnh14,1.0,1,4,1,1,1,1,1,1/12,1,1,21,1,1,1,1,21,18,1,18,1/6,1,1/7,21,1/6,9,1,1,21,21,21
lpsnh15,lpsnh15,1.0,1,2,1,3,3,3,1,3,3,28,25,28,3,5,28,24,3,28/29,3,5/8,3,5,23,5,12,28,3,25,23,23
lpsnh16,lpsnh16,1.0,1,1,1,14,13,13,1,1,4,1,1/15,23,12,4,23,20,1,1,1,4,1,4,16,4,4,23,1,15,16,16
lpsnh17,lpsnh17,1.0,1/5,4,1/5,1,1,1,1,5,7,5,1,24,16/7/15,7/11,24/25,22,1,5,1,7/12,1,7/12/14,19,7,7,24,1,1,19,21
lpsnh18,lpsnh18,1.0,1,1,1,26/27,1,1,28,1,1/3,29,1,29,1,1/4,31,25,1,30,1,6,16,4,1,10/12,1,32,17,21,1/23,1
lpsnh19,lpsnh19,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8/9,1,1,1,1/3/4,1/14,6,1,1,1
lpsnh20,lpsnh20,1.0,1,1,2,2,2,2,12,2,2,2,2,2,2/7,2,2,11,2,2,2,2,2,2/3,2,2,6,2,2,2,8,2
lpsnh21,lpsnh21,1.0,1,1,1,1/18/19,1,1,1,1,1,1,13,1,1,1,1,17,11,1,11,3/4,6,1/5,13,1,1,1,6,13,13,15
