id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,0,0,0,40,1,0,42,6,6,44,1,48,4,1,6,4,44,6,0,0,3,52,4,34,9,0,7,6,49,44
mh1,mh1,50.0,0,0,0,0,0,0,29,0,0,29,3,29,13,0,0,16,30,0,29,29,5,0,0,0,0,10,0,0,0,29
mh2,mh2,50.0,1,4,4,1,0,4,16,1,1,0,0,13,9,8,1,0,17,1,17,0,7,29,23,0,1,1,1,1,27,0
mh3,mh3,50.0,1,4,4,18,10,9,17,10,10,23,10,19,10,10,10,10,22,10,24,24,10,15,32,16,10,10,10,25,30,23
mh4,mh4,50.0,0,1,1,4,4,1,21,6,6,21,4,21,18,4,6,4,22,13,22,22,4,4,0,4,8,0,8,6,0,21
mnh0,mnh0,50.0,1,1,1,1,1,1,1,1,1,18,1,1,1,1,1,16,18,14,18,18,1,16,1,16,7,7,7,13,26,22
mnh1,mnh1,50.0,1,2,2,1,1,2,11,1,1,11,5,11,1,1,1,1,11,8,14,11,1,1,16,1,7,7,7,1,1,11
mnh2,mnh2,50.0,1,1,1,1,1,1,30,1,17,30,1,30,1,15,18,21,33,18,33,35,1,21,1,22,19,19,19,18,18,30
mnh3,mnh3,50.0,1,1,1,49,6,3,53,10,10,53,6,53,14,6,10,6,54,13,54,54,7,15,6,6,10,10,10,12,56,53
mnh4,mnh4,50.0,1,1,1,25,4,1,31,4,9,117,4,31,15,4,4,4,117,4,117,117,4,121,4,19,4,12,4,120,4,117
mnh5,mnh5,50.0,10,1,9,1,1,7,1,14,16,29,1,1,22,13,14,14,1,14,1,31,1,25,32,14,14,14,14,14,14,29
mnh6,mnh6,50.0,1,2,12,19,19,16,19,26,26,19,22,42,26,25,31,33,39,31,19,19,21,26,26,26,26,26,26,26,40,19
mnh7,mnh7,50.0,1,2,4,42,1,2,43,13,13,43,8,51,28,11,13,36,43,13,47,47,8,53,1,41,13,22,13,24,27,43
mnh8,mnh8,50.0,2,1,1,21,4,1,22,4,4,23,4,22,4,4,7,15,23,7,23,23,4,4,4,16,8,8,8,29,7,25
mnh9,mnh9,50.0,1,2,6,1,1,7,26,17,17,29,1,26,15,14,17,23,29,17,29,29,9,23,15,23,17,17,17,17,17,34
mnh10,mnh10,50.0,1,2,3,5,5,4,5,5,5,5,8,5,5,5,5,15,5,14,5,5,8,25,23,5,5,5,5,5,5,5
mnh11,mnh11,50.0,1,1,3,31,6,5,1,1,1,1,7,33,1,1,16,17,1,1,1,1,7,19,1,30,1,1,1,14,16,1
mnh12,mnh12,50.0,1,1,1,25,5,3,26,4,4,28,6,26,4,11,4,15,26,4,26,26,7,34,31,4,4,4,4,4,12,28
mnh13,mnh13,50.0,1,1,1,11,1,1,7,1,1,7,1,7,1,2,1,1,7,1,7,7,1,1,16,6,1,1,1,1,1,7
mnh14,mnh14,50.0,4,1,1,1,1,1,1,1,1,19,1,1,1,8,11,1,1,11,1,22,1,1,24,14,11,11,11,11,11,19
lpsh0,lpsh0,1.0,1/4,1,1,1,1,2,16,6,6,1,1,1,6,7,0/6,6,1,0/6,21,1,1,6,15,13,9,6,6,6,22/23,1
lpsh1,lpsh1,1.0,1,1,1,24,1/3,1,2,8,8,29,1,2/42,8,4,8,20,35,8/15,36,36,3,17/43/44,40,8,13,14,8,8,37/8,33/30
lpsh2,lpsh2,1.0,0/2,0,1,0,0,0,0,0,0,0,5,0,0,7/8,10,0/12,0,0/9/10,0,0,6,23,0/22,15,11,10,0/10,10,0,19
lpsh3,lpsh3,1.0,1,1,0,1,3,0,1,1,1,1,1,8/14,1,1,0,1,1,0,0/1,1,1,1,1,1,0,0,0,5,6,0
lpsnh0,lpsnh0,1.0,1,1,1,1/23,1,1,1,1,1,1,1,26,1,1,1,1,1,1,1,1,1,1,72,17,14,1/15,1/15,1,1,1
lpsnh1,lpsnh1,1.0,1,1,1,35,1,7,1/36,29,1,1/38,1,43,1,1/19/20,1,1,1,1,1,1,18,1,1/41,32/34,25,22,22,1,1,38/39/40
lpsnh2,lpsnh2,1.0,1,1,1,10,2,1,8,2/6,2,12,2,8,2,2,2,2,12,2,17/12,12,2,2,2,2,4/5,2,2,2/22,2,12
lpsnh3,lpsnh3,1.0,1,1/11,1,1,1,10,18,1,1,18,1,23,1,1,14,1,18,14,18/21,18,12,1/31,1,1/15,1,1,1,29/30,25/26/14,18
lpsnh4,lpsnh4,1.0,1/5,1,1,1,1,1,1/22,1,1,1,8/9,37,1,15,1,1,1,1,1,1/25,8/10/11,39,31,19,1,1,1,1,26,1
lpsnh5,lpsnh5,1.0,1,1,1,40,1,1,1,1/17,10,1,1,1,1,8,11/15,1,1,11,1/43,1,1,19,46,35,11/13,11,11,11,11,41/42
lpsnh6,lpsnh6,1.0,1,1,1,20,6,3,20,6,6,20,6,20,6,11,14,18,20,14,20,20,7,6,6/25,19,15,14,14,27/14,26/14,20
lpsnh7,lpsnh7,1.0,1,1,1,1,1,1,55,4,7,1,1,55,4,1,44,4,1/59,44,1/58,1/58,1,4,4,53,46,47,45,44,44,1
lpsnh8,lpsnh8,1.0,1,1,2,18,1,2,1,1,1,1/20,1,21,12,6,10,1/13,1,10,1,1,5,13,1,17,1,1,1,9/10,10,1/20
