id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,1,0,0,0,5,3,6,3,4,3,3,6,6,29,6,6,6,6,6,0,0,6,0,9,6,0,0,12
mh1,mh1,50.0,0,1,13,5,5,5,5,5,7,5,5,5,5,7,7,12,7,7,7,7,7,7,7,7,5,7,7,5,5,7
mh2,mh2,50.0,0,0,0,4,4,4,4,4,8,7,4,4,4,8,8,8,8,8,8,8,0,8,8,8,5,8,8,5,11,8
mh3,mh3,50.0,1,1,1,1,1,1,1,3,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,0,1
mh4,mh4,50.0,1,1,1,1,1,1,1,3,1,3,3,3,3,1,1,1,17,1,1,1,22,23,22,1,6,1,16,6,6,20
mnh0,mnh0,50.0,1,17,19,2,2,2,2,2,11,2,8,2,2,11,11,11,11,11,12,11,11,11,11,13,2,11,11,2,2,11
mnh1,mnh1,50.0,1,2,2,2,2,2,2,2,18,2,2,2,2,2,13,2,17,2,2,2,19,24,19,2,2,2,2,2,2,2
mnh2,mnh2,50.0,1,1,1,4,4,4,4,4,4,4,4,4,4,19,9,4,4,4,4,4,19,23,19,4,7,17,4,7,21,17
mnh3,mnh3,50.0,1,1,1,1,1,6,1,1,1,5,1,5,5,1,1,1,1,32,1,32,1,27,24,1,2,1,13,3,29,1
mnh4,mnh4,50.0,1,1,1,1,1,1,1,1,4,1,1,1,1,4,4,4,4,4,5,4,4,1,4,5,2,4,5,1,1,4
mnh5,mnh5,50.0,1,6,6,24,11,11,13,11,11,11,11,11,11,11,11,21,11,11,11,11,20,11,11,15,11,11,11,11,11,18
mnh6,mnh6,50.0,1,1,1,2,2,2,2,6,2,6,6,6,6,2,2,14,2,17,2,17,2,15,2,2,5,2,9,3,2,2
mnh7,mnh7,50.0,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,15,1,15,1,8,1,10,8,3,1
mnh8,mnh8,50.0,1,4,1,4,4,15,16,4,16,4,4,4,4,16,16,22,16,16,16,16,16,16,16,16,12,19,16,12,7,16
mnh9,mnh9,50.0,1,1,1,3,3,3,3,3,3,3,3,3,3,15,3,3,3,15,3,15,15,3,15,5,3,12,11,3,3,12
mnh10,mnh10,50.0,1,18,18,20,20,20,20,20,20,20,20,20,20,20,22,20,20,20,20,20,20,20,24,20,21,20,20,21,20,20
mnh11,mnh11,50.0,1,20,1,18,1,1,1,6,1,6,6,6,6,1,11,15,1,21,10,21,1,17,1,10,5,13,10,3,1,1
mnh12,mnh12,50.0,1,2,2,24,8,8,8,8,8,8,8,8,8,8,20,8,8,8,8,26,8,8,22,15,12,8,18,10,14,8
mnh13,mnh13,50.0,1,34,1,5,5,5,5,14,17,14,14,14,14,17,17,17,17,17,17,17,17,17,17,17,6,29,17,10,6,26
mnh14,mnh14,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,13,1,1,5,24,1,18,1,6,1,1,4,1,23,1
lpsh0,lpsh0,1.0,1,1/2,20,2,2,2,2,10,2,0/2,2,2,2,0,13,2,2,2,2,2/24,0,2,0,2,6,2,2,6,23,2
lpsh1,lpsh1,1.0,1,1,12,1,1,1,1,1,1,1,0/1,1,1,0/1,9,1,1,1,1,1,0/1,1,0/10,1,0,1,1,5,5/13,1
lpsnh0,lpsnh0,1.0,1,1,1,1,1,1/4,1,3,6,3,3,3,3,6,1,1,1,6/9,1,6,6,10,6/8,1,1,1,1,1,1,1
lpsnh1,lpsnh1,1.0,1,3,1/3,3,3,3,3,3,3,5,3/4,5,5,3,13,3,3/15,3,3,3,20,3,3,3,3,16,12,3,3,3
lpsnh2,lpsnh2,1.0,1,1/31,1,4,5,5,19,15,24,18,14,15,18,19,19,19,24,19,19,19,19,19,19,19/20,5/6,26/27,21,11,37,26/28
lpsnh3,lpsnh3,1.0,1,1,1,3,5,5,14,11,5,11,5,12,11,5,5,5,20,5,16,5,5,5,5/21/22,5,8,5,18,8,5,5
lpsnh4,lpsnh4,1.0,1,13,13,15,15,15,19/15,18/15,21,17,15,16/17,17,21,15,15,21,21,15,21,22,25/15,22,15,15,21,20,15,15,21
lpsnh5,lpsnh5,1.0,1,1,1,1,1,1,1,1,1/5,1,1,1,1,1,1,1,1/5,1,1,1,6,8,6,1,1,5,4,1,1/10,5
lpsnh6,lpsnh6,1.0,1,1,15,1,1,1,4,3,8/11/12,3,1,3,3,1,1,14,9,1,5,18,1,4,1,5,1,1,6,1,1,1
lpsnh7,lpsnh7,1.0,1,1,1,1,1/14,1/14,1,1,1,1,1/11,13,1,21,1,1,1,21,1/15,21,21/22,1,21,1,1,1,1,7,26,19/20
lpsnh8,lpsnh8,1.0,1,1,1,1,1,1,1,13,16/18/19,13,13/15,13,13,16/19/26,23,18/19,16/24,16/18/26,16,26,26,1,26,16,4,19,22,8,4/29/30,19
