id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,14,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,0,19,1,0,8,17,1,8,0,0
mh1,mh1,50.0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12,7,5,2,6,0,2
mh2,mh2,50.0,1,1,1,1,1,1,1,1,1,3,10,1,1,1,8,1,8,1,8,1,13,13,1,13,1,1,0,0,13,13
mh3,mh3,50.0,0,11,0,0,10,0,0,0,7,0,8,4,4,4,6,4,4,0,4,0,6,6,0,6,0,0,0,0,6,6
mh4,mh4,50.0,1,1,1,1,1,1,1,1,0,1,0,0,4,3,0,3,0,5,0,5,0,11,5,0,5,5,5,0,0,0
mnh0,mnh0,50.0,1,1,1,12,11,2,2,2,4,2,10,7,5,6,5,6,5,5,5,5,5,5,5,5,9,9,5,9,5,5
mnh1,mnh1,50.0,1,1,2,2,2,4,3,3,2,3,2,7,2,7,20,7,20,17,20,2,21,21,2,21,12,12,2,12,21,21
mnh2,mnh2,50.0,1,10,1,1,1,1,1,1,9,3,1,6,1,8,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mnh3,mnh3,50.0,1,1,1,1,1,1,1,1,1,1,13,1,1,1,1,1,19,1,1,1,20,23,1,22,1,26,1,8,20,20
mnh4,mnh4,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
mnh5,mnh5,50.0,1,1,1,1,20,1,1,1,1,1,19,1,1,1,13,1,13,11,17,3,13,21,3,13,8,22,3,3,13,13
mnh6,mnh6,50.0,1,1,1,1,11,1,1,1,4,1,1,4,6,4,8,4,8,6,8,6,8,8,6,8,6,6,6,6,8,8
mnh7,mnh7,50.0,1,1,2,11,3,2,2,2,3,2,3,3,3,3,9,3,9,3,9,3,9,9,3,9,3,3,3,7,9,9
mnh8,mnh8,50.0,1,1,2,12,7,5,5,5,7,5,7,7,7,7,7,7,7,7,7,13,7,7,7,7,7,7,9,7,7,7
mnh9,mnh9,50.0,29,1,1,1,27,1,1,1,1,1,1,3,3,3,26,7,23,13,23,14,26,26,14,26,13,13,16,22,26,26
mnh10,mnh10,50.0,1,1,1,11,1,1,1,1,4,1,1,4,8,5,4,5,4,4,4,4,4,4,4,4,4,4,10,4,4,4
mnh11,mnh11,50.0,1,15,1,1,1,1,1,1,10,1,11,6,1,1,1,7,1,1,1,1,17,1,1,17,1,1,8,1,17,17
mnh12,mnh12,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,8,8,1,8,1,9,1,5,8,8
mnh13,mnh13,50.0,1,1,1,4,4,2,2,2,16,2,5,7,11,7,7,7,7,7,7,12,7,7,12,19,7,7,12,7,7,7
mnh14,mnh14,50.0,1,12,1,11,1,1,1,1,1,1,10,4,1,4,7,4,7,1,7,6,7,7,6,7,1,1,6,1,7,7
lpsh0,lpsh0,1.0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0/2/3,0,12,0/15,0,18,18,0,18,6,0,0,10,18/19,18
lpsh1,lpsh1,1.0,2,12,2,2,2,0/2,0/2,0/2,2,0/2/3,2,2,2,4,2/15,4,2,2,2,7,2,2/14,2,2,2/8,2,7,2,2,2
lpsh2,lpsh2,1.0,1,1,1,1,1,1,1,1,1,1,1,0,1,0/22,25,22,28,25,25,25,0/25,0/25,25,0/25,25,30,25,25,0/25,0/25
lpsh3,lpsh3,1.0,1,1/15,1,1,1,1,1,1,1,1,1/14,1,1,1,13,1,13,1,13,1,16/13,13,1,13,1,1,1,1,16/13,13
lpsh4,lpsh4,1.0,1,1,2,2,2,2,2,2,2,6,2,2,2,2,2,0/2,2,2,2,14/15,2,2,9,0/2,11,11,2,11/12,2,2
lpsh5,lpsh5,1.0,0,0,0,0/12,11,1,1,1,2,0,2,3,2,3,10,3,10,0/2/9,10,2,10,10,2,10,7,7,2,7,10,10
lpsnh0,lpsnh0,1.0,1,1,1,1,1,2,2,2,1,2/4,1,1,1,1,6,1,6,7,6,9/10,6,6/7,7,6,7/11,7,7,7,6,6
lpsnh1,lpsnh1,1.0,1,1,1,1,3,1,1,1,3,1,3,3,3,3,7,3,9,3,8,3,10,10/11,3,10/11,3,3,3,3,10,10/11
lpsnh2,lpsnh2,1.0,1,1,1,1,1/7,4,4,4,7/27,4,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7/11,7,7,26,7,7
lpsnh3,lpsnh3,1.0,1,1,1,1,1,1,1,1,1,1,14,1,1,1,11,1/3,1,1,1,4,11,11,4,11,1/8,9,5/7,8,11,11
lpsnh4,lpsnh4,1.0,1,1/19,2,2,2,2,2,2,2,4,18,6,8,6,12,6,12,2/10,12,2/9,12,22/12,21/9,12,9,9,9,9,12,12
lpsnh5,lpsnh5,1.0,1,1,1,1,1/4,3,2/3,2,4,2,1,1,5,1,4,1,4,4,4/9,4,24,24,7,24,4,8,4,4,24,24
lpsnh6,lpsnh6,1.0,1,1,1,1/2,5,3,3,3,6,3,5,6,6,6,6,6,6,6,6,10,6,17,6,6,6,16/6,11,14,6,6
lpsnh7,lpsnh7,1.0,1,1,1/2,1,19,1,1,1,15,1,17/18,7,10,1,1,8/9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lpsnh8,lpsnh8,1.0,1,1,1,1,1,1,1,1,1,1,1,2/4,2,2/4,13,4,13,2,13,2,13,13,2,13,2,2,2,2,13,13
lpsnh9,lpsnh9,1.0,1,1,1,1,1,1/2,1,1,1,1,1,1,1/5,1,1,1,1,1,1,8/11,1,1,8,1,12/13,20,8,1,1,1
lpsnh10,lpsnh10,1.0,1,23,1,22,19,1,1,1,3,2,3,7/8/9,3,10,3,11,3,3,3,12,3,3,12,3,16/15,25,13,15,3,3
lpsnh11,lpsnh11,1.0,1,1,1,1/14,1,1,1,1,1,1,9/12/13,2,3,2,16/2,2,2,4,2,4,16/2,16/18,4,17/2,2,20,4,2,16/2,16/2/15
lpsnh12,lpsnh12,1.0,1,1,1,1,1,1,1,1,1,1,9/10,2,4,2,2/5,2,1/5,1/2,5,2,1/5,1,11,5,1,1,6,1,1/5/12,1/5
lpsnh13,lpsnh13,1.0,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,5,2,5,2,2,5,2,5,5,6/7,5,2,2
lpsnh14,lpsnh14,1.0,1,1,2,3,3,2,2,2,3,2,3,5,3,5,3/15,5/6,3,9,3/14,9,3,3,9,3,9,9,9,9,3,3
lpsnh15,lpsnh15,1.0,1,19,2,18,2,2,2,2,2,2,2,2,5/7,2,2,2,2/20,11,16,2,2,2,2,2,9,2,2,10,2,2
lpsnh16,lpsnh16,1.0,1/23,1,1,1,1,1,1,1,1,1,22,2,7,2,5,2,26,5/13,5,8,5,5,5,5,10,5/27,5,5/12,5,5
lpsnh17,lpsnh17,1.0,1,1,1,1,1,1/3,1,1,17,1,1,1,1,1,1,1,1,14,1,5,1,1,1,1,1,1,12,1,1,1
lpsnh18,lpsnh18,1.0,1,20,1/2,1,1,1/2/3/4,1/2/3/4,1/3,1,1/3/4,17,1,7,1,1,1,1,1,1,9,1,8,9,1,8,8,9,8,1,1
lpsnh19,lpsnh19,1.0,1,1,1,1,1,1,1,1,10,1,1,1,3/4,1,3,1,3/13,3,9,3,3,18/3/19,3,16/14,3/6,8,3,3,3,3
lpsnh20,lpsnh20,1.0,1,1,1,1,5,1/3,1,1,5,1,19,7,5,7/8,5,7,5,5,5,9,5,5,9,5,5,5,14,5,5,5
lpsnh21,lpsnh21,1.0,1,1,1,1,24,1,1,1,1,1,21,1/4/5,1,1/4,1,1,1,16/18,1,10,1,1,10,25,1,1,10,1/15,1,1
lpsnh22,lpsnh22,1.0,1,1,1,2,2,10,10,10,2,10,2,2,15,2/14,2/29,2,22,16,22,16,2,2/28,16,2,19,18,17,19,2/25/26,2
lpsnh23,lpsnh23,1.0,1,1,1,1,1,1,1,1,1,1,20,1,1/4,1,1/21,1,1,1,1,17,1,1,11,1,1/18,1,16/14/15,1,1,1
lpsnh24,lpsnh24,1.0,1,1,1,1,1,1/2,1,1,1,1/3,10,1,1,1,8,1,8,1,8,1,8,8,1,8,1,14/15,1,1,8,8
lpsnh25,lpsnh25,1.0,1,1/5,1,1,1,1/2,1/2,1/2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1
lpsnh26,lpsnh26,1.0,1,1,1,1,1,1,1,1,1,1,25,1/2,2,5/6,2,5/6,26,2,24,2,2,31,2,2,13,11,2/10,13,2/27,2
lpsnh27,lpsnh27,1.0,1,1,1,1,9,1,1,1,9/11/12,5,12,16/15,15,16,15,16,15,21/15,23,15,15,27,15,15,18,20,15,18,15,15
lpsnh28,lpsnh28,1.0,1,1,2,3,17,3,3,3,3/15,3,16,7,10,7,14,7,20/14,11,14,11/12,14,22/23/24,11,14,7,7/14,11,7,14,14
